Rok,RID,NAZEV,přihlášek,"""živých"" přihlášek",přihlášených,"""živých"" přihlášených",přijetí,přijatých,zápisů,zapsaných
2014,12000,Jihočeská univerzita v Českých Budějovicích,9175,8160,6659,6031,4964,4097,3160,3130
2014,12110,Fakulta zdravotně sociální,1743,1513,1375,1212,1097,941,714,714
2014,12210,Filozofická fakulta,677,542,583,474,393,351,212,210
2014,12220,Zemědělská fakulta,857,857,699,699,411,402,398,391
2014,12260,Fakulta teologická,510,386,474,361,258,246,194,194
2014,12310,Přírodovědecká fakulta,592,569,520,503,424,381,234,231
2014,12410,Pedagogická fakulta,3310,2807,2754,2329,1140,1028,750,744
2014,12510,Ekonomická fakulta,1340,1340,1090,1090,1132,920,583,580
2014,12520,Fakulta rybářství a ochrany vod,146,146,132,132,109,101,75,75
2014,13000,Univerzita J. E. Purkyně v Ústí nad Labem,6674,5802,5220,4628,3921,3370,2818,2785
2014,13410,Filozofická fakulta,598,432,517,380,410,360,300,296
2014,13420,Fakulta výrobních technologií a managementu,469,469,439,439,422,406,346,346
2014,13430,Fakulta pedagogická,1998,1738,1668,1473,1026,936,753,747
2014,13440,Přírodovědecká fakulta,981,889,827,764,635,583,425,424
2014,13450,Fakulta zdravotnických studií,739,638,627,539,292,266,210,210
2014,13510,Fakulta sociálně ekonomická,1314,1108,1122,947,792,670,514,514
2014,13520,Fakulta životního prostředí,344,344,331,331,274,273,207,207
2014,13530,Fakulta umění a designu,231,184,231,184,70,70,63,63
2014,14000,Masarykova univerzita,32721,27826,18809,16016,11461,7728,5960,5590
2014,14110,Lékařská fakulta,2797,2274,2125,1663,531,440,281,279
2014,14210,Filozofická fakulta,6143,5050,4419,3686,3320,2532,1770,1692
2014,14220,Právnická fakulta,1648,1415,1332,1137,455,376,283,279
2014,14230,Fakulta sociálních studií,4707,3869,3164,2464,1290,805,489,472
2014,14310,Přírodovědecká fakulta,2951,2734,2104,1921,1548,1222,732,708
2014,14330,Fakulta informatiky,1191,1102,999,917,483,411,274,271
2014,14410,Pedagogická fakulta,6899,6491,4948,4593,2115,1689,1186,1115
2014,14510,Fakulta sportovních studií,2400,1268,1771,890,430,359,320,310
2014,14560,Fakulta ekonomicko-správní,3985,3623,2980,2671,1289,984,625,612
2014,15000,Univerzita Palackého v Olomouci,17760,14928,11823,10147,6397,5457,4381,4313
2014,15120,Fakulta zdravotnických věd,1146,1025,991,880,277,251,190,189
2014,15210,Filozofická fakulta,5532,4798,4158,3512,1255,1235,1231,1214
2014,15220,Právnická fakulta,448,290,448,290,64,64,49,49
2014,15260,Cyrilometodějská teologická fakulta,625,503,575,469,378,364,292,292
2014,15310,Přírodovědecká fakulta,3521,3152,2764,2594,2728,2323,1410,1405
2014,15410,Pedagogická fakulta,4933,3858,3631,2777,1145,952,782,768
2014,15510,Fakulta tělesné kultury,1555,1302,1166,984,550,489,427,424
2014,16000,Veterinární a farmaceutická univerzita Brno,566,502,508,455,257,243,145,144
2014,16270,Fakulta veterinární hygieny a ekologie,566,502,508,455,257,243,145,144
2014,17000,Ostravská univerzita v Ostravě,10159,8906,7494,6591,2926,2710,2569,2528
2014,17110,Lékařská fakulta,1492,1282,1229,1044,318,307,292,292
2014,17200,Fakulta sociálních studií,766,731,705,673,149,149,142,142
2014,17250,Filozofická fakulta,2236,1855,1842,1530,872,747,617,611
2014,17310,Přírodovědecká fakulta,1521,1324,1249,1091,596,588,582,577
2014,17450,Pedagogická fakulta,3904,3499,3191,2815,904,874,851,843
2014,17500,Fakulta umění,240,215,226,202,87,87,85,85
2014,18000,Univerzita Hradec Králové,8526,7059,6344,5356,2461,2193,1585,1572
2014,18440,Pedagogická fakulta,4116,3258,3270,2608,753,702,530,523
2014,18450,Fakulta informatiky a managementu,2160,1912,1886,1687,938,861,530,528
2014,18460,Filozofická fakulta,783,646,694,577,341,308,235,233
2014,18470,Přírodovědecká fakulta,448,342,399,304,245,228,155,155
2014,18900,celoškolská pracoviště,1019,901,826,722,184,162,135,135
2014,19000,Slezská univerzita v Opavě,4412,4154,3831,3628,2513,2362,2085,2070
2014,19240,Filozoficko-přírodovědecká fakulta,1374,1258,1180,1092,627,624,615,612
2014,19510,Fakulta veřejných politik,1238,1096,1165,1035,525,512,403,400
2014,19520,Obchodně podnikatelská fakulta v Karviné,1572,1572,1425,1425,1216,1107,923,921
2014,19900,celoškolská pracoviště,228,228,227,227,145,145,144,144
2014,21000,České vysoké učení technické v Praze,10079,8981,8273,7508,6441,5719,5001,4944
2014,21110,Fakulta stavební,1796,1541,1520,1292,1199,1020,865,865
2014,21220,Fakulta strojní,1371,1317,1350,1305,1075,1072,843,842
2014,21230,Fakulta elektrotechnická,1311,1125,1166,999,743,698,594,594
2014,21240,Fakulta informačních technologií,1516,1516,1513,1513,774,773,670,670
2014,21260,Fakulta dopravní,744,723,742,721,575,574,374,374
2014,21340,Fakulta jaderná a fyzikálně inženýrská,816,816,814,814,653,651,505,504
2014,21450,Fakulta architektury,533,471,497,445,278,274,255,253
2014,21460,Fakulta biomedicínského inženýrství,1152,722,1009,658,556,513,511,488
2014,21900,celoškolská pracoviště,840,750,752,666,588,526,384,383
2014,22000,Vysoká škola chemicko-technologická v Praze,2811,2811,2060,2060,1893,1531,979,975
2014,22310,Fakulta chemické technologie,925,925,818,818,663,583,322,322
2014,22320,Fakulta technologie ochrany prostředí,351,351,288,288,267,225,156,156
2014,22330,Fakulta potravinářské a biochemické technologie,1175,1175,977,977,722,663,357,357
2014,22340,Fakulta chemicko-inženýrská,317,317,297,297,198,185,104,104
2014,22900,celoškolská pracoviště,43,43,43,43,43,43,40,40
2014,23000,Západočeská univerzita v Plzni,11779,9772,7895,6689,5194,4169,3435,3406
2014,23210,Fakulta strojní,884,670,879,665,630,627,544,544
2014,23220,Fakulta elektrotechnická,1009,777,680,533,453,449,429,429
2014,23310,Fakulta zdravotnických studií,1318,1058,1033,811,342,280,238,238
2014,23320,Fakulta právnická,507,472,507,472,185,185,102,102
2014,23330,Filozofická fakulta,1404,1110,1172,943,793,703,528,527
2014,23410,Fakulta designu a umění L. Sutnara,645,601,515,474,137,134,103,103
2014,23420,Fakulta pedagogická,3032,2192,2536,1866,794,735,571,569
2014,23510,Fakulta ekonomická,1686,1598,1192,1119,641,626,521,521
2014,23520,Fakulta aplikovaných věd,1294,1294,713,713,1219,660,399,399
2014,24000,Technická univerzita v Liberci,4761,4107,3778,3315,3005,2607,2128,2104
2014,24210,Fakulta strojní,568,485,568,485,485,485,390,390
2014,24220,"Fakulta mechatroniky, informatiky a mezioborových studií",334,263,324,260,224,221,179,179
2014,24310,Ekonomická fakulta,1241,957,950,737,714,575,443,443
2014,24410,Fakulta textilní,506,500,447,442,482,435,324,324
2014,24510,Fakulta přírodovědně-humanitní a pedagogická,1801,1632,1461,1328,916,812,640,632
2014,24520,Fakulta umění a architektury,156,134,150,130,53,51,44,44
2014,24900,celoškolská pracoviště,155,136,152,134,131,129,108,108
2014,25000,Univerzita Pardubice,7108,6767,5524,5266,4526,3840,2902,2891
2014,25110,Fakulta restaurování,57,33,56,33,16,16,15,15
2014,25210,Fakulta filozofická,1194,981,955,784,673,581,445,442
2014,25310,Fakulta chemicko-technologická,1191,1191,1014,1014,927,831,522,522
2014,25410,Fakulta ekonomicko-správní,1998,1998,1497,1497,1232,971,672,672
2014,25510,Dopravní fakulta Jana Pernera,1098,1098,1027,1027,853,827,648,647
2014,25520,Fakulta zdravotnických studií,970,866,799,701,419,365,279,279
2014,25530,Fakulta elektrotechniky a informatiky,600,600,541,541,406,381,321,321
2014,26000,Vysoké učení technické v Brně,10159,8596,8297,7183,6355,5546,4463,4437
2014,26110,Fakulta stavební,2425,2076,2220,1929,1989,1864,1209,1207
2014,26210,Fakulta strojního inženýrství,1894,1565,1698,1397,1309,1171,1032,1032
2014,26220,Fakulta elektrotechniky a komunikačních technologií,1416,1135,1266,1020,967,881,781,777
2014,26230,Fakulta informačních technologií,876,667,876,667,403,403,369,369
2014,26310,Fakulta chemická,796,743,726,681,525,475,338,336
2014,26410,Fakulta architektury,331,331,331,331,81,81,58,58
2014,26420,Fakulta výtvarných umění,239,235,238,235,35,35,34,34
2014,26510,Fakulta podnikatelská,2182,1844,1825,1532,1046,881,642,640
2014,27000,Vysoká škola báňská - Technická univerzita Ostrava,7095,6616,6422,6068,5308,5041,4558,4529
2014,27120,Fakulta stavební,614,602,612,601,419,419,373,373
2014,27200,Fakulta bezpečnostního inženýrství,541,466,537,463,390,387,333,333
2014,27230,Fakulta strojní,718,514,702,508,491,486,427,427
