"RID","Zkrác. název VŠ","Název organizace","Obec","Ulice","č.p.","WWW"
"13420","UJEP v Ústí nad Labem","Fakulta strojního inženýrství","Ústí nad Labem","Na okraji 1001","","ftvm.ujep.cz"
"13430","UJEP v Ústí nad Labem","Pedagogická fakulta","Ústí nad Labem","České mládeže 8","","www.ujep.cz"
"13440","UJEP v Ústí nad Labem","Přírodovědecká fakulta","Ústí nad Labem","České mládeže 8","","www.ujep.cz"
"13450","UJEP v Ústí nad Labem","Fakulta zdravotnických studií","Ústí nad Labem","Velká Hradební 13","","uzs.ujep.cz"
"13510","UJEP v Ústí nad Labem","Fakulta sociálně ekonomická","Ústí nad Labem","Moskevská 54","","www.ujep.cz"
"13520","UJEP v Ústí nad Labem","Fakulta životního prostředí","Ústí nad Labem","Králova výšina 3132/7","","www.ujep.cz"
"13530","UJEP v Ústí nad Labem","Fakulta umění a designu","Ústí nad Labem","Pasteurova 9","","www.ujep.cz"
"14000","MU","Masarykova univerzita","Brno","Žerotínovo nám. 617/9","","www.muni.cz"
"14110","MU","Lékařská fakulta","Brno","Kamenice 753/5","","www.med.muni.cz"
"14160","MU","Farmaceutická fakulta","Brno-Královo Pole","Palackého 1 - 3","","www.muni.cz/farmacie"
"14210","MU","Filozofická fakulta","Brno","Arne Nováka 1/1","","www.phil.muni.cz"
"14220","MU","Právnická fakulta","Brno","Veveří 158/70","","www.law.muni.cz"
"14230","MU","Fakulta sociálních studií","Brno","Joštova 218/10","","www.fss.muni.cz"
"14310","MU","Přírodovědecká fakulta","Brno","Kotlářská 267/2","","www.sci.muni.cz"
"14330","MU","Fakulta informatiky","Brno","Botanická 554/68a","","www.fi.muni.cz"
"14410","MU","Pedagogická fakulta","Brno","Poříčí 623/7","","www.ped.muni.cz"
"14510","MU","Fakulta sportovních studií","Brno","Kamenice 753/5","","www.fsps.muni.cz"
"14560","MU","Ekonomicko-správní fakulta","Brno","Lipová 507/41a","","www.econ.muni.cz"
"15000","UP v Olomouci","Univerzita Palackého v Olomouci","Olomouc","Křížkovského 8","","www.upol.cz"
"15110","UP v Olomouci","Lékařská fakulta","Olomouc 1","tř. Svobody 8","","www.upol.cz"
"15120","UP v Olomouci","Fakulta zdravotnických věd","Olomouc 1","tř. Svobody 8","","www.upol.cz/fakulty/fzv"
"15210","UP v Olomouci","Filozofická fakulta","Olomouc 1","Křížkovského 10","","www.upol.cz"
"15220","UP v Olomouci","Právnická fakulta","Olomouc 2","tř. 17. listopadu 6,8","","www.upol.cz"
"15260","UP v Olomouci","Cyrilometodějská teologická fakulta","Olomouc 1","Univerzitní  22","","www.upol.cz"
"15310","UP v Olomouci","Přírodovědecká fakulta","Olomouc 1","tř. Svobody 26","","www.upol.cz"
